Name,Address,Suburb,Postcode,LGA,Licensee,Licensee ABN,Facebook Link,Instagram link,Email Address,Phone Number,Date email 1 sent,Date email 2 sent,Date email 3 sent,Notes,
Shake Stir Sip,17 OSWELL ST ,ROCKDALE,2216,Bayside,Andrea MARI,,,https://www.instagram.com/shakestirsip_,info@shakestirsip.com.au,0432 059 663,7/5/2024,,,Enquiry form available,
Shake & Strain,UNIT 702 3 FINCH DR ,EASTGARDENS,2036,Bayside,Marcus DE BRITO COSTA,,https://www.facebook.com/shakestrainbar/,https://www.instagram.com/shakestrain/,info@shakestrain.bar,0421 621 326,7/5/2024,,,,
Kubcat,16 BELMONT AV ,SANS SOUCI,2219,Bayside,Demetrios Kuburlis,,,,info@teamservices.com.au,(02) 9554 3801,7/5/2024,,,,
Larry's Pizzeria and Cocktail Bar,15 BAY ST ,BOTANY,2019,Bayside,SO QUICHE CATERING PTY LTD,17630443097,,https://www.instagram.com/larrys_pizzeria/,Info@larryspizzeria.com.au,02 7232 0491,7/5/2024,,,,
Kitsuya,8-10 Brodie Spark Drive ,WOOLLI CREEK,2205,Bayside,Youngjun Kim,,https://www.facebook.com/profile.php?id=100095119778041&mibextid=LQQJ4d,https://www.instagram.com/kitsuya.restaurant/,kitsuya.restaurant@gmail.com,+61 2 8021 0542,7/5/2024,,,,
aCTiv Elite Theatre Company INC,448 PRINCES HWY ,ROCKDALE,2216,Bayside,Peter Sharratt,,,https://www.instagram.com/activeliteperformers/,info@activeliteperformers.com.au,02 8084 1818,,,,I do not target to send email to this business / FB account is private,
INDRENI PTY LTD t/a jharna Function Centre,1 6  FREDERICK ,Rockdale,2216,Bayside,INDRENI PTY LTD,75618235411,https://www.facebook.com/p/Jharna-Function-Centre-100047024148408/,,,,,,,,
Momoto Eastgardens,152 Bunnerong Rd ,EASTGARDENS,2036,Bayside,EASTGARDENS PREMIUM TASTE PTY LTD,82666698719,https://www.facebook.com/momoto.au/,https://www.instagram.com/momoto.au/,admin@momoto.com.au,02 8358 2466,7/5/2024,,,,
Moxy Sydney Airport,56 BAXTER RD ,MASCOT,2020,Bayside,BAXTER ROAD HOTEL PTY LTD,,https://www.facebook.com/MoxySydneyAirport/,https://www.instagram.com/moxysydneyairport/,,+61 2-9132-4800,,,,No available email,
Collective cafe,644 FOREST RD ,BEXLEY,2207,Bayside,Martin Najdov,,,https://www.instagram.com/collective_cafe/,hello@thecafecollective.com.au,+61 8 9337 5177,7/5/2024,,,,
Skadarlija,632 FOREST RD ,BEXLEY,2207,Bayside,Vladan Tesic,,https://www.facebook.com/skadarlija632/,,skadarlija632@gmail.com,+61 401 873 601,7/5/2024,,,,
Camys Chargrill Chicken Wolli Creek,"Shop 6, 35 Arncliffe Street ",WOLLI CREEK,2205,Bayside,NEW MILLENNIUM 4 PTY LTD,56666832113,https://www.facebook.com/camyschargrillchicken/,https://www.instagram.com/camyschargrillchicken/,camysfoods.au@gmail.com,02 9280 1879,7/5/2024,,,,
Land Thai Kitchen,Shop 5A / 108 Princes Highway ,ARNCLIFFE,2205,Bayside,Wanvimon Techasvararak,,,,,(212) 501-8121,7/5/2024,,,couldn't be delivered,
Arium of Mascot,SHOP 1/185  O'Riordan ,MASCOT,2020,Bayside,CM ASSOCIATES 2 PTY LTD,78656560655,https://www.facebook.com/profile.php?id=100083571229528,https://www.instagram.com/ariumofmascot/,booking@ariumcafeandbar.com,0415 538 288,7/5/2024,,,,
Harry's Restaurant,"SHOPS 1-3, 342-344 BAY ST ",BRIGHTON LE SANDS,2216,Bayside,Michael Anagnostou,,https://www.facebook.com/profile.php?id=100089124136333&mibextid=ZbWKwL,https://www.instagram.com/harrysrestaurantbar?igsh=MXh3bjhyOWZ3bWx0cQ%3D%3D,info@harrysbygiuls.com.au,0466 492 529,7/5/2024,,,,
Fresh@1,SHOP 3 1 ROBEY ST ,MASCOT,2020,Bayside,NATURAL WELLBEING FOOD PTY LTD,76656083993,https://www.facebook.com/profile.php?id=61550905577562,,,+61 2 8338 9006,,,,No email and No website,
Little Birria,SHOP 1 295 COWARD ST ,MASCOT,2020,Bayside,BUZZFOODZ PTY LTD,61652378106,https://www.facebook.com/littlebirria.mascot/,https://www.instagram.com/littlebirria.mascot/,info@littlebirria.com.au,(02) 8068 7937,7/5/2024,,,,
Falcha Rockdale,538 PRINCES HWY ,ROCKDALE,2216,Bayside,FALCHA PTY LTD,49656647648,https://www.facebook.com/falchaaustralia/,https://www.instagram.com/falcha_aus/,info@falcha.com.au,0431 837 922,7/5/2024,,,,
Anita's Fusion,SHOP 4 8 BOURKE ST ,MASCOT,2020,Bayside,Jing Sui,,,,anitasfusion@gmail.com,02-83391143,7/5/2024,,,No social media account,
Ramsgate Beach House,2 Cook Park The Grand Parade ,RAMSGATE,2217,Bayside,Samar Osseiran,,https://www.facebook.com/profile.php?id=100076990818862&mibextid=LQQJ4d,https://www.instagram.com/ramsgatebeachhouse?igshid=MzRlODBiNWFlZA%3D%3D,hello@ramsgatebeachhouse.com.au,(02) 9876 1450,7/5/2024,,,,
